Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,SE,iPhone SE (2022),2799.0,,256.0,Unknown,Unknown,,350.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,SE,iPhone SE (2022),2099.0,,64.0,Unknown,Unknown,,275.0,2022,A15 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone X,5899.0,,256.0,Unknown,Unknown,,185.0,2017,A11 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone X,5149.0,,64.0,Unknown,Unknown,,130.0,2017,A11 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XR,3849.0,,128.0,Unknown,Unknown,,220.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XR,4299.0,,256.0,Unknown,Unknown,,270.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XR,3599.0,,64.0,Unknown,Unknown,,155.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS,5699.0,,256.0,Unknown,Unknown,,255.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS,6649.0,,512.0,Unknown,Unknown,,305.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS,4999.0,,64.0,Unknown,Unknown,,205.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS Max,6099.0,,256.0,Unknown,Unknown,,365.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS Max,7049.0,,512.0,Unknown,Unknown,,390.0,2018,A12 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone XS Max,5399.0,,64.0,Unknown,Unknown,,285.0,2018,A12 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 11,3399.0,,64.0,Unknown,Unknown,,300.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 11,3599.0,,128.0,Unknown,Unknown,,350.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 11,4099.0,,256.0,Unknown,Unknown,,460.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 11 Pro,4899.0,,64.0,Unknown,Unknown,,400.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 11 Pro,5599.0,,256.0,Unknown,Unknown,,450.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 11 Pro,6499.0,,512.0,Unknown,Unknown,,590.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 11 Pro Max,5299.0,,64.0,Unknown,Unknown,,490.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 11 Pro Max,5999.0,,256.0,Unknown,Unknown,,560.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 11 Pro Max,6899.0,,512.0,Unknown,Unknown,,650.0,2019,A13 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 12,3899.0,,64.0,Unknown,Unknown,,460.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 12,4099.0,,128.0,Unknown,Unknown,,510.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 12,4599.0,,256.0,Unknown,Unknown,,590.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 12 Mini,3399.0,,64.0,Unknown,Unknown,,300.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 12 Mini,3599.0,,128.0,Unknown,Unknown,,400.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 12 Mini,4099.0,,256.0,Unknown,Unknown,,450.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 12 Pro,4899.0,,128.0,Unknown,Unknown,,640.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 12 Pro,5399.0,,256.0,Unknown,Unknown,,710.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro,iPhone 12 Pro,6299.0,,512.0,Unknown,Unknown,,760.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 12 Pro Max,5299.0,,128.0,Unknown,Unknown,,810.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 12 Pro Max,5799.0,,256.0,Unknown,Unknown,,910.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Pro Max,iPhone 12 Pro Max,6699.0,,512.0,Unknown,Unknown,,990.0,2020,A14 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 13,3899.0,,128.0,Unknown,Unknown,,750.0,2021,A15 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 13,4399.0,,256.0,Unknown,Unknown,,850.0,2021,A15 Bionic,,,,,,,Unknown
iTworld,iPhone,Standard,iPhone 13,5299.0,,512.0,Unknown,Unknown,,910.0,2021,A15 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 13 Mini,3399.0,,128.0,Unknown,Unknown,,500.0,2021,A15 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 13 Mini,3899.0,,256.0,Unknown,Unknown,,550.0,2021,A15 Bionic,,,,,,,Unknown
iTworld,iPhone,Mini,iPhone 13 Mini,4799.0,,512.0,Unknown,Unknown,,600.0,2021,A15 Bionic,,,,,,,Unknown
